"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"Genre";"PublishingHouse";"LitPrizeName";"Nomination";"signature_date";"global_id";
"1";"2017";"F20";"[Анна Юрьевна Козлова]";"2016";"18+";"Роман";"Рипол Классик";"Национальный бестселлер";"Лучший роман, написанный на русском языке в течение календарного года";"29.04.2020 10:44:31";"881369459";
"2";"2017";"Патриот";"[Андрей Викторович Рубанов]";"2017";"18+";"Роман";"АСТ";"Ясная поляна";"Современная русская проза";"29.04.2020 10:40:41";"881369518";
"3";"2016";"И с тех пор не расставались. Истории страшные, трогательные и страшно трогательные";"[Лея Давидовна Любомирская]";"2016";"16+";"Роман";"АСТ";"Русская премия";"Малая проза 2 место";"29.04.2020 10:36:41";"881369546";
"4";"2016";"Открытый финал";"[Андрей Валентинович Жвалевский Евгения Борисовна Пастернак]";"2016";"12+";"Роман";"Время";"Русская премия";"Малая проза 3 место";"29.04.2020 10:44:31";"881369570";
"5";"2016";"Тайный год";"[Михаил Георгиевич Гиголашвили]";"2017";"18+";"Роман";"АСТ";"Русская премия";"Крупная проза 1 место";"29.04.2020 10:44:31";"881369580";
"6";"2017";"Ленин. Пантократор солнечных пылинок";"[Лев Александрович Данилкин]";"2017";"18+";"Роман";"Молодая гвардия";"Большая книга";"1 место";"29.04.2020 10:44:31";"881369583";
"7";"2017";"Неизвестность";"[Аексей Иванович Слаповский]";"2017";"18+";"Роман";"АСТ";"Большая книга";"Шорт-лист";"29.04.2020 10:45:27";"881369589";
"8";"2017";"Город Брежнев";"[Шамиль Идиатуллин]";"2017";"18+";"Роман";"Азбука";"Большая книга";"3 место";"29.04.2020 10:40:41";"881369628";
"9";"2017";"Катаев: «Погоня за вечной весной»";"[Сергей Александрович Шаргунов]";"2016";"18+";"Роман";"Молодая гвардия";"Большая книга";"2 место";"29.04.2020 10:40:41";"881369634";
"10";"2017";"Соколиный рубеж";"[Сергей Анатольевич Самсонов]";"2017";"18+";"Роман";"Рипол Классик";"Большая книга";"Шорт-лист";"29.04.2020 10:41:51";"881369641";
"11";"2017";"Современная литература народов России. Поэзия";"[]";"2017";"16+";"Роман";"ОГИ";"Книга года";"Книга года";"29.04.2020 10:36:41";"881369685";
"12";"2017";"Найди и покажи на Руси. 700 слов в помощь школьнику";"[Светлана Воскресенская]";"2017";"5+";"Роман";"Клевер-медиа-групп";"Книга года";"Вместе с книгой мы растём";"29.04.2020 10:36:41";"881369776";
"13";"2017";"Песнь тунгуса";"[Олег Николаевич Ермаков]";"2017";"18+";"Роман";"Время";"Ясная поляна";"Специальный приз Samsung";"29.04.2020 10:36:41";"881369857";
"14";"2017";"Заххок";"[Владимир Медведев]";"2017";"18+";"Роман";"ArsisBooks";"Русский букер";"Шорт-лист";"29.04.2020 10:44:31";"881370083";
"15";"2017";"Иван Ауслендер";"[Герман Умаралиевич Садулаев]";"2017";"18+";"Роман";"АСТ";"Ясная поляна";"Шорт-лист";"29.04.2020 10:41:51";"881370171";
"16";"2017";"Скромный герой";"[Марио Варгас Льоса]";"2016";"18+";"Роман";"Азбука";"Ясная поляна";"Иностранная литература";"29.04.2020 10:40:42";"881370174";
"17";"2017";"С ума сойти! Путеводитель по психическим расстройствам для жителя большого город";"[Дарья Варламова]";"2017";"18+";"Роман";"Альпина Паблишер";"Просветитель";"Естественные и точные науки";"29.04.2020 10:41:52";"881370221";
"18";"2017";"Достающее звено (в двух томах). Книга первая. Обезьяна и все-все-все.";"[Станислав Владимирович Дробышевский]";"2017";"18+";"Роман";"Альпина Паблишер";"Просветитель";"Шорт-лист";"29.04.2020 10:40:42";"881370234";
"19";"2017";"Достающее звено (в двух томах). Книга вторая. Люди.";"[Дробышевский Станислав Владимирович]";"2017";"18+";"Роман";"Альпина Паблишер";"Просветитель";"Шорт-лист";"29.04.2020 10:36:41";"881370255";
"20";"2017";"В интернете кто-то неправ! Научные исследования спорных вопросов";"[Ася Казанцева]";"2016";"18+";"Роман";"АСТ";"Просветитель";"Шорт-лист";"29.04.2020 10:45:27";"881370262";
"21";"2017";"Кому нужна математика? Понятная книга о том, как устроен цифровой мир";"[Нелли Литвак]";"2017";"18+";"Роман";"Манн, Иванов и Фербер";"Просветитель";"Шорт-лист";"29.04.2020 10:44:31";"881370270";
"22";"2017";"Конструирование языков. От эсперанто до дотракийского";"[Александр Чедович Пиперски]";"2017";"18+";"Роман";"Альпина нон-фикшн";"Просветитель";"Гуманитарные науки";"29.04.2020 10:44:31";"881370280";
"23";"2017";"Изобретено в России. История русской изобретательской мысли от Петра I до Николая II";"[Тим Юрьевич Скоренко]";"2017";"18+";"Роман";"Альпина нон-фикшн";"Просветитель";"Шорт-лист";"29.04.2020 10:45:27";"881370309";
"24";"2017";"Свидание с Квазимодо";"[Александр Мелихов]";"2016";"18+";"Роман";"Эксмо";"Русский букер";"Шорт-лист";"29.04.2020 10:44:31";"881370350";
"25";"2017";"Голомяное пламя";"[Дмитрий Новиков]";"2017";"18+";"Роман";"АСТ";"Русский букер";"Шорт-лист";"29.04.2020 10:45:27";"881370369";
"26";"2016";"Удалить эту запись?";"[Лариса Романовская]";"2017";"12+";"Роман";"Самокат";"Книгуру";"3 место";"29.04.2020 10:40:42";"881370384";
"27";"2017";"Брат-юннат";"[Станислав Владимирович Востоков]";"2017";"6+";"Роман";"Белая ворона";"Книгуру";"3 место";"29.04.2020 10:36:41";"881370394";
"28";"2017";"Правило 69 для толстой чайки";"[Дарья Варденбург]";"2017";"12+";"Роман";"Самокат";"Международная детская литературная премия имени В.П.Крапивина";"Лауреат";"29.04.2020 10:41:52";"881370431";
"29";"2017";"Ворон";"[Евгений Рудашевский]";"2017";"12+";"Повесть";"КомпасГид";"Международная детская литературная премия имени В.П.Крапивина";"Лауреат";"29.04.2020 10:45:27";"881370452";
"30";"2016";"Фея Бориса Ларисовна";"[Татьяна Русакова]";"2017";"5+";"Повесть";"Росмэн";"Новая детская книга";"Внеклассные истории";"29.04.2020 10:45:27";"881370462";
"31";"2016";"Макабр. Игра в сумерках";"[Мила Нокс]";"2017";"12+";"Повесть";"Росмэн";"Новая детская книга";"Мир фэнтези";"29.04.2020 10:45:27";"881370479";
"32";"2016";"Мироискатели. Паутина Старого Города";"[Алек Вольских]";"2017";"12+";"Повесть";"Росмэн";"Новая детская книга";"Выбор Terra Incognita";"29.04.2020 10:36:41";"881370495";
"33";"2017";"Текст";"[Дмитрий Алексеевич Глуховский]";"2017";"18+";"Повесть";"АСТ";"НОС";"Шорт-лист";"29.04.2020 10:45:27";"881370509";
"34";"2017";"Манарага";"[Владимир Сорокин]";"2017";"18+";"Повесть";"АСТ";"НОС";"Шорт-лист";"29.04.2020 10:45:27";"881376449";
"35";"2017";"Головастик и святые";"[Андрей Филимонов]";"2017";"18+";"Повесть";"Рипол Классик";"НОС";"Шорт-лист";"29.04.2020 10:40:41";"881376478";
"36";"2017";"iPhuck 10";"[Виктор Олегович Пелевин]";"2017";"18+";"Повесть";"Эксмо";"Премия А. Белого";"Шорт-лист";"29.04.2020 10:44:31";"881376490";
"37";"2017";"Анатомия архитектуры. Семь книг о логике, форме и смысле";"[Сергей Кавтарадзе]";"2017";"18+";"Повесть";"ВШЭ";"Премия А. Белого";"Шорт-лист";"29.04.2020 10:36:41";"881376496";
"38";"2017";"Новая модель реальности";"[Вадим Руднев]";"2016";"18+";"Повесть";"ВШЭ";"Премия А. Белого";"Шорт-лист";"29.04.2020 10:46:40";"881376512";
"39";"2017";"Родина";"[Елена Долгопят]";"2016";"18+";"Повесть";"Рипол Классик";"Национальный бестселлер";"Шорт-лист";"29.04.2020 10:36:41";"881376515";
"40";"2017";"Вот и хорошо!";"[Кира Стрельникова]";"2016";"6+";"Повесть";"Настя и Никита";"Литературная премия имени С.Маршака";"Дебют";"29.04.2020 10:36:41";"881376516";
"41";"2017";"Солнце на дороге";"[Андрей Максимов]";"2017";"12+";"Повесть";"Детская литература";"Международный конкурс им. С. Михалкова";"3 место";"29.04.2020 10:36:41";"881376517";
"42";"2016";"Зимняя дорога";"[Леонид Абрамович Юзефович]";"2016";"18+";"Повесть";"АСТ";"Большая книга";"1 место";"29.04.2020 10:45:27";"881376519";
"43";"2016";"Крепость";"[Петр Маркович Алешковский]";"2015";"18+";"Повесть";"АСТ";"Русский букер";"Лауреат";"29.04.2020 10:36:41";"881376526";
"44";"2016";"Авиатор";"[Водолазкин Евгений Германович]";"2016";"16+";"Повесть";"АСТ";"Большая книга";"2 место";"29.04.2020 10:40:42";"881376534";
"45";"2016";"С неба упали три яблока";"[Абгарян Наринэ Юрьевна]";"2015";"16+";"Повесть";"АСТ";"Ясная поляна";"Современная русская проза";"29.04.2020 10:36:41";"881376536";
"46";"2016";"Поклонение волхвов";"[Сухбат Афлатуни]";"2016";"16+";"Повесть";"Рипол Классик";"Ясная поляна";"Шорт-лист";"29.04.2020 10:45:27";"881376539";
"47";"2016";"Гранатовый остров";"[Владимир Эйснер]";"2015";"18+";"Повесть";"Написано пером";"Ясная поляна";"Шорт-лист";"29.04.2020 10:41:51";"881376545";
"48";"2016";"Мягкая ткань. Книга вторая: Сукно";"[Борис Дорианович Минаев]";"2016";"18+";"Повесть";"Время";"Ясная поляна";"Шорт-лист";"29.04.2020 10:36:41";"881376547";
"49";"2016";"Мягкая ткань. Книга первая: Батист";"[Борис Дорианович Минаев]";"2015";"18+";"Повесть";"Время";"Ясная поляна";"Шорт-лист";"29.04.2020 10:40:41";"881376548";
"50";"2016";"Мои странные мысли";"[Памук Орхан]";"2016";"18+";"Повесть";"Азбука";"Ясная поляна";"Иностранная литература";"29.04.2020 10:45:27";"881376549";
"51";"2016";"Ты, главное, пиши о любви";"[Москвина Марина Львовна Говорова Юлия]";"2016";"12+";"Рассказ";"Гаятри";"Ясная поляна";"Шорт-лист";"29.04.2020 10:46:40";"881376562";
"52";"2016";"Лесник и его нимфа";"[Марина Нефедова]";"2016";"12+";"Рассказ";"Никея";"Ясная поляна";"Детство. Отрочество. Юность.";"29.04.2020 10:36:41";"881376594";
"53";"2016";"Дети ворона";"[Юлия Яковлева]";"2016";"12+";"Рассказ";"Самокат";"Ясная поляна";"Шорт-лист";"29.04.2020 10:44:31";"881376630";
"54";"2016";"Люди августа";"[Сергей Сергеевич Лебедев]";"2015";"18+";"Рассказ";"Альпина Паблишер";"Русский букер";"Шорт-лист";"29.04.2020 10:36:41";"881376654";
"55";"2016";"И нет им воздаяния";"[Александр Мотелевич Мелихов]";"2015";"18+";"Рассказ";"Эксмо";"Русский букер";"Шорт-лист";"29.04.2020 10:36:41";"881376676";
"56";"2016";"Песни драконов. Любовь и приключения в мире крокодилов и прочих динозавровых родственников";"[Владимир Леонидович Динец]";"2015";"18+";"Рассказ";"АСТ";"Большая книга";"Шорт-лист";"29.04.2020 10:45:27";"881376699";
"57";"2016";"Введение в поведение";"[Борис Борисович Жуков]";"2016";"18+";"Рассказ";"АСТ";"Просветитель";"Шорт-лист";"29.04.2020 10:36:41";"881376707";
"58";"2016";"Сумма биотехнологии";"[Александр Панчин]";"2015";"18+";"Рассказ";"АСТ";"Просветитель";"Естественные и точные науки";"29.04.2020 10:40:41";"881376715";
"59";"2016";"Что такое Африка";"[Кирилл Владимирович Бабаев Александра Александровна Архангельская]";"2015";"16+";"Рассказ";"Рипол Классик";"Просветитель";"Шорт-лист";"29.04.2020 10:45:27";"881376759";
"60";"2016";"Анатомия архитектуры. Семь книг о логике, форме и смысле";"[Сергей Кавтарадзе]";"2016";"18+";"Рассказ";"Издательский Дом ВШЭ";"Просветитель";"Гуманитарные науки";"29.04.2020 10:41:52";"881376781";
"61";"2016";"Мужчина и Женщина: тело, мода, культура. СССР – Оттепель";"[Наталия Борисовна Лебина]";"2014";"18+";"Рассказ";"Новое литературное обозрение";"Просветитель";"Шорт-лист";"29.04.2020 10:40:42";"881376798";
"62";"2016";"Появление героя. Из истории русской эмоциональной культуры конца XVIII – начала XIX века";"[Андрей Леонидович Зорин]";"2016";"18+";"Рассказ";"Новое литературное обозрение";"Просветитель";"Лонг-лист";"29.04.2020 10:41:51";"881376824";
"63";"2016";"Ненастье";"[Алексей Иванов]";"2015";"18+";"Рассказ";"АСТ";"Книга года";"Проза";"29.04.2020 10:41:51";"881376854";
"64";"2016";"Рассказы о животных";"[Сергей Солоух]";"2016";"18+";"Притча";"Время";"Большая книга";"Шорт-лист";"29.04.2020 10:46:41";"881376872";
"65";"2016";"Травля";"[Саша Филипенко]";"2016";"18+";"Притча";"Время";"Большая книга";"Шорт-лист";"29.04.2020 10:40:42";"881378748";
"66";"2016";"Чашка по-английски";"[Григорий Михайлович Кружков]";"2016";"6+";"Притча";"Нигма";"Книга года";"Вместе с книгой мы растём";"29.04.2020 10:36:41";"881379726";
"67";"2018";"Памяти памяти";"[Мария Степанова]";"2017";"18+";"Притча";"Новое издательства";"Большая книга и Литературная премия НОС (новая словесность)";"За лучшее прозаическое произведение большой формы - 1 премия";"29.04.2020 10:45:27";"919204439";
"68";"2018";"Бюро проверки";"[Александр Архангельский]";"2018";"18+";"Притча";"АСТ";"Большая книга";"За лучшее прозаическое произведение большой формы - 2 премия";"29.04.2020 10:41:52";"919204441";
"69";"2018";"Июнь";"[Дмитрий Быков]";"2018";"18+";"Притча";"АСТ";"Большая книга";"За лучшее прозаическое произведение большой формы - 3 премия";"29.04.2020 10:46:41";"919204442";
"70";"2018";"Театр отчаяния. Отчаянный театр";"[Евгений Гришковец]";"2018";"18+";"Притча";"КоЛибри. Азбука Аттикус";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:46:41";"919204542";
"71";"2018";"Радуга и вереск";"[Олег Ермаков]";"2018";"16+";"Притча";"Время";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:46:40";"919204672";
"72";"2018";"Рецепты сотворения мира. От Парижа до Сибири через весь ХХ век";"[Андрей Филимонов]";"2018";"18+";"Притча";"АСТ";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:36:41";"919204766";
"73";"2018";"Мультимедийная журналистика. Учебник для вузов";"[Анна Качкаева Светлана Шомова Андрей Мирошниченко]";"2018";"0+";"Притча";"Высшая школа экономики";"Книга года";"Учебник ХХ1 века. Победитель";"29.04.2020 10:44:31";"919204943";
"74";"2018";"Теремок. Графическая история";"[Игорь Олейников]";"2018";"16+";"Притча";"Манн, Иванов и Фербер";"Книга года";"Вместе с книгой мы растем. Победитель";"29.04.2020 10:40:42";"919204944";
"75";"2018";"Прыжок в длину";"[Ольга Славникова]";"2018";"16+";"Притча";"АСТ";"Книга года и Ясная поляна";"Проза года. Современная русская проза. Победитель";"29.04.2020 10:36:41";"919204957";
"76";"2018";"История Крыма";"[]";"2017";"0+";"Притча";"Институт российской истории";"Книга года";"Humanitas. Победитель";"29.04.2020 10:40:41";"919206405";
"77";"2018";"Нарисованная Москва";"[Алена Дергилева]";"2017";"0+";"Притча";"Контакт-культура";"Книга года";"Арт-книга. Победитель";"29.04.2020 10:36:41";"919206407";
"78";"2018";"Мяч в игре";"[Алексей Дурново]";"2018";"6+";"Комедия";"Белая ворона";"Книга года";"Книга и футбол. Победитель";"29.04.2020 10:40:42";"919206418";
"79";"2018";"Смерть Артура";"[Сэр Томас Мэлори]";"2018";"0+";"Комедия";"Октопус";"Книга года";"Искусство книгопечатания. Победитель";"29.04.2020 10:41:51";"919206574";
"80";"2018";"Иуда";"[Амос Оз]";"2017";"16+";"Комедия";"Фантом Пресс";"Ясная поляна";"Иностранная литература. Победитель";"29.04.2020 10:40:41";"919207255";
"81";"2018";"Праздник лишних орлов";"[Александр Бушковский]";"2017";"18+";"Комедия";"Рипол классик";"Ясная поляна";"Финалист. Короткий список";"29.04.2020 10:44:31";"919209400";
"82";"2018";"Петровы в гриппе и вокруг него";"[Алексей Сальников]";"2018";"18+";"Комедия";"АСТ";"Национальный бестселлер";"Прозаическое произведение, обладающего недореализованным потенциалом «интеллектуального бестселлера». Лауреат.";"29.04.2020 10:45:27";"919209449";
"83";"2018";"Была бы дочь Анастасия";"[Василий Аксенов]";"2018";"16+";"Комедия";"Лимбус пресс";"Национальный бестселлер";"Финалист. Короткий список";"29.04.2020 10:41:52";"919209471";
"85";"2018";"Посмотри на него";"[Анна Старобинец]";"2017";"16+";"Комедия";"Corpus (АСТ)";"Национальный бестселлер";"Финалист. Короткий список";"29.04.2020 10:44:31";"919214913";
"86";"2018";"Манарага";"[Владимир Сорокин]";"2017";"18+";"Комедия";"Corpus (АСТ)";"НОС (Новая словесность)";"Новые тренды в современной художественной словесности на русском языке. Победитель";"29.04.2020 10:36:41";"919214916";
"87";"2018";"Предатель ада";"[Павел Пепперштейн]";"2018";"18+";"Комедия";"НЛО";"Премия Андрея Белого";"Проза. Победитель";"29.04.2020 10:36:41";"919214917";
