"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"Genre";"PublishingHouse";"LitPrizeName";"Nomination";"signature_date";"global_id";
"88";"2018";"Желание исчезнуть";"[Константин Куприянов]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 1 место";"29.04.2020 10:36:41";"919214976";
"89";"2018";"Ложь Гамлета";"[Игорь Савельев]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 2 место";"29.04.2020 10:46:40";"919214992";
"90";"2018";"Дистимия";"[Булат Ханов]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 3 место";"29.04.2020 10:44:31";"919214993";
"91";"2018";"Лицей 2018. Номинация «Поэзия»";"[Андрей Фамицкий]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Поэзия. 1 место";"29.04.2020 10:44:31";"919216700";
"92";"2018";"Лицей 2018. Номинация «Поэзия»";"[Елена Жамбалова]";"2018";"18+";"Трагедия";"Издательские решения";"Лицей";"Поэзия. 2 место";"29.04.2020 10:41:52";"919216701";
"93";"2018";"Лицей 2018. Номинация «Поэзия»";"[Софья Серебрякова]";"2018";"18+";"Трагедия";"Издательские решения";"Лицей";"Поэзия. 3 место";"29.04.2020 10:45:27";"919216702";
"94";"2018";"От атомов к древу: Введение в современную науку о жизни";"[Сергей Ястребов]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Естественные и точные науки. Победитель";"29.04.2020 10:44:31";"919216580";
"95";"2018";"Страдающее средневековье";"[Сергей Зотов Михаил Майзульс Дильшата Харман]";"2018";"16+";"Трагедия";"АСТ";"Просветитель";"Гуманитарные науки. Победитель";"29.04.2020 10:41:52";"919216581";
"96";"2018";"Байки из грота: 50 историй из жизни древних людей";"[Станислав Дробышевский]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:46:40";"919216582";
"97";"2018";"Несовременная страна. Россия в мире ХХI века";"[Владислав Иноземцев]";"2018";"16+";"Трагедия";"Альпина Паблишер";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:44:31";"919216690";
"98";"2018";"1917. Семнадцать очерков по истории российской революции";"[Борис Колоницкий]";"2017";"16+";"Трагедия";"Издательство Европейского университета в Санкт-Петербурге";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:46:40";"919216692";
"99";"2018";"Математика для гуманитариев. Живые лекции";"[Алексей Савватеев]";"2018";"0+";"Трагедия";"Университет Дмитрия Пожарского";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:40:42";"919216694";
"100";"2018";"Кавказская война. Семь историй";"[Амиран Урушадзе]";"2018";"16+";"Трагедия";"НЛО";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:36:41";"919216696";
"101";"2018";"Воля и самоконтроль. Как гены и мозг мешают нам бороться с соблазнами";"[Ирина Якутенко]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:36:41";"919216697";
"102";"2018";"Теория невероятностей";"[Виктория Ледерман]";"2018";"6+";"Трагедия";"КомпасГид";"КНИГУРУ";"Лучшее произведение для детей и юношества. 2 место";"29.04.2020 10:40:42";"919216698";
"103";"2019";"Финист - ясный сокол";"[Рубанов Андрей Викторович]";"2019";"18+";"Трагедия";"АСТ";"Национальный бестселлер";"Лауреат";"29.04.2020 10:40:42";"1035304875";
"104";"2019";"Я буду всегда с тобой";"[Етоев Александр Васильевич]";"2019";"16+";"Трагедия";"Азбука";"Национальный бестселлер";"Номинант";"29.04.2020 10:36:41";"1035304877";
"105";"2019";"Четверо";"[Пелевин Александр Сергеевич]";"2018";"16+";"Трагедия";"Пятый Рим";"Национальный бестселлер";"Номинант";"29.04.2020 10:45:27";"1035304879";
"106";"2019";"XX век представляет. Кадры и кадавры";"[Трофименков Михаил Сергеевич]";"2018";"18+";"Драма";"Флюид";"Национальный бестселлер";"Номинант";"29.04.2020 10:41:52";"1035304931";
"107";"2019";"Калечина-Малечина";"[Евгения Некрасова]";"2018";"18+";"Драма";"АСТ";"Национальный бестселлер";"Номинант";"29.04.2020 10:45:27";"1035304939";
"108";"2019";"Славянские отаку";"[Упырь Лихой]";"2018";"18+";"Драма";"Флюид";"Национальный бестселлер";"Номинант";"29.04.2020 10:40:41";"1035304945";
"109";"2019";"Переговоры с монстрами. Как договориться с сильными мира сего";"[Рызов Игорь Романович]";"2018";"12+";"Драма";"Бомбора";"Деловая книга года в России";"Лауреат номинации «Лучшая книга российского автора»";"29.04.2020 10:44:31";"1035304950";
"110";"2019";"Рискуя собственной шкурой. Скрытая асимметрия повседневной жизни";"[Талеб Нассим Николас]";"2018";"18+";"Драма";"КоЛибри";"Деловая книга года в России";"Лауреат номинации «Лучшая книга зарубежного автора, изданная в России»";"29.04.2020 10:36:41";"1035304956";
"111";"2019";"Венедикт Ерофеев: посторонний";"[Лекманов Олег Андершанович Свердлов Михаил Игоревич Симановский Илья Григорьевич]";"2019";"18+";"Драма";"АСТ";"Большая книга";"Лауреат";"29.04.2020 10:45:27";"1035304979";
"112";"2019";"Дни Савелия";"[Григорий Служитель]";"2019";"16+";"Драма";"АСТ";"Большая книга";"Лауреат";"29.04.2020 10:45:27";"1035304982";
"113";"2019";"Дети мои";"[Гузель Яхина]";"2019";"16+";"Драма";"АСТ";"Большая книга";"Лауреат";"29.04.2020 10:44:31";"1035304990";
"114";"2019";"Опосредованно";"[Сальников Алексей Борисович]";"2019";"18+";"Драма";"АСТ";"Большая книга";"Номинант";"29.04.2020 10:41:51";"1035304994";
"115";"2019";"Жизнь А.Г.";"[Ставецкий Вячеслав Викторович]";"2019";"16+";"Драма";"АСТ";"Большая книга";"Номинант";"29.04.2020 10:36:41";"1035304996";
"116";"2019";"Брисбен";"[Водолазкин Евгений Германович]";"2019";"16+";"Драма";"АСТ";"Большая книга";"Номинант";"29.04.2020 10:44:31";"1035305003";
"117";"2019";"Собаки Европы";"[Бахаревич Ольгерд Иванович]";"2019";"18+";"Драма";"Время";"Большая книга";"Номинант";"29.04.2020 10:41:52";"1035305110";
"118";"2019";"Рай земной";"[Сухбат Афлатуни]";"2019";"16+";"Драма";"Эксмо";"Большая книга";"Номинант";"29.04.2020 10:41:52";"1035305120";
"119";"2019";"Дождь в Париже";"[Сенчин Роман Валерьевич]";"2018";"16+";"Драма";"АСТ";"Большая книга";"Номинант";"29.04.2020 10:40:41";"1035305945";
"120";"2019";"Все, способные дышать дыхание";"[Линор Горалик]";"2018";"18+";"Драма";"АСТ";"Большая книга";"Номинант";"29.04.2020 10:45:27";"1035305949";
"121";"2019";"Держаться за землю";"[Самсонов Сергей Анатольевич]";"2018";"18+";"Драма";"Пальмира";"Ясная поляна";"Лауреат номинации «Современная русская проза»";"29.04.2020 10:44:31";"1035305953";
"122";"2019";"Дорога на Астапово";"[Березин Владимир Сергеевич]";"2018";"18+";"Поэма";"АСТ";"Ясная поляна";"Номинация «Современная русская проза»";"29.04.2020 10:40:41";"1035305955";
"123";"2019";"Небесный почтальон Федя Булкин";"[Николаенко Александра Вадимовна]";"2019";"16+";"Поэма";"АСТ";"Ясная поляна";"Номинация «Современная русская проза»";"29.04.2020 10:36:41";"1035305957";
"124";"2019";"Искусство воскрешения";"[Летельер Эрнан Ривера]";"2017";"16+";"Поэма";"Издательство Ивана Лимбаха";"Ясная поляна";"Лауреат номинации «Иностранная литература»";"29.04.2020 10:45:27";"1035305962";
"125";"2019";"Одна история";"[Джулиан Барнс]";"2018";"16+";"Поэма";"Азбука";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:40:41";"1035305965";
"126";"2019";"Сочувствующий";"[Вьет Нгуен Тхань]";"2019";"16+";"Поэма";"АСТ";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:36:41";"1035305966";
"127";"2019";"Бегуны";"[Ольга Токарчук]";"2018";"18+";"Поэма";"Эксмо";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:40:42";"1035305968";
"128";"2019";"Срединная Англия";"[Джонатан Коу]";"2019";"18+";"Поэма";"Фантом Пресс";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:45:27";"1035305969";
"129";"2019";"Эмпайр Фоллз";"[Ричард Руссо]";"2018";"16+";"Поэма";"Фантом Пресс";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:41:52";"1035305970";
"130";"2019";"Красота - это горе";"[Курниаван Эка]";"2018";"18+";"Поэма";"Фантом Пресс";"Ясная поляна";"Номинация «Иностранная литература»";"29.04.2020 10:41:52";"1035305971";
"131";"2019";"0,05. Доказательная медицина. От магии до поисков бессмертия";"[Талантов Петр Валентинович]";"2019";"12+";"Поэма";"АСТ";"Просветитель";"Лауреат номинации «Естественные и точные науки»";"29.04.2020 10:45:27";"1035305972";
"132";"2019";"Астрономия. Популярные лекции";"[Сурдин Владимир Георгиевич]";"2019";"18+";"Поэма";"МЦИМО";"Просветитель";"Номинация «Естественные и точные науки»";"29.04.2020 10:45:27";"1035305973";
"133";"2019";"100 рассказов из истории медицины";"[Шифрин Михаил]";"2019";"16+";"Поэма";"Альпина Паблишер";"Просветитель";"Номинация «Естественные и точные науки»";"29.04.2020 10:41:51";"1035305974";
"134";"2019";"ДНК и ее человек";"[Клещенко Елена]";"2019";"16+";"Поэма";"Альпина нон-фикшн";"Просветитель";"Номинация «Естественные и точные науки»";"29.04.2020 10:40:41";"1035305975";
"135";"2019";"На нервной почве";"[Бранд Павел]";"2019";"12+";"Поэма";"АСТ";"Просветитель";"Номинация «Естественные и точные науки»";"29.04.2020 10:36:41";"1035305976";
"136";"2019";"Алхимия советской индустриализации";"[Осокина Елена]";"2019";"12+";"Поэма";"НЛО";"Просветитель";"Лауреат номинации «Гуманитарные науки»";"29.04.2020 10:36:41";"1035305977";
"137";"2019";"Держава и топор";"[Анисимов Евгений Викторович]";"2019";"18+";"Поэма";"НЛО";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:40:41";"1035305978";
"138";"2019";"Драма Памяти. Очерки истории российской драматургии";"[Руднев Павел]";"2018";"0+";"Поэма";"НЛО";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:44:31";"1035305979";
"139";"2019";"Полчаса музыки. Как понять и полюбить классику";"[Кандаурова Ляля]";"2018";"16+";"Поэма";"Альпина Паблишер";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:41:52";"1035306011";
"140";"2019";"Собибор. Послесловие";"[Симкин Лев Семенович]";"2019";"0+";"Поэма";"АСТ";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:40:41";"1035306038";
"141";"2019";"Государство, или Цена порядка";"[Волков Вадим]";"2018";"12+";"Поэма";"Издательство Европейского университета в Санкт-Петербурге";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:41:52";"1035306101";
"142";"2019";"Злоречие. Иллюстрированная история";"[Щербинина Юлия]";"2019";"0+";"Поэма";"Неолит";"Просветитель";"Номинация «Гуманитарные науки»";"29.04.2020 10:41:52";"1035306170";
"143";"2019";"Дом правительства. Сага о русской революции";"[Слёзкин Юрий Львович]";"2019";"12+";"Поэма";"АСТ";"Просветитель";"Лауреат номинации «Неформат»";"29.04.2020 10:36:41";"1035306176";
"144";"2019";"В поисках мальчишеского бога";"[Ищенко Дмитрий]";"2019";"12+";"Поэма";"КомпасГид";"Международная детская литературная премия имени В.П. Крапивина";"Лауреат номинации «Выбор детского жюри»";"29.04.2020 10:36:41";"1035306177";
"145";"2019";"Фрида Кало. История про художницу, которая нарисовала себя и свою жизнь";"[Анна Герасименко]";"2019";"0+";"Поэма";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:44:31";"1035306179";
"146";"2019";"Дмитрий Менделеев";"[Лисаченко Алексей]";"2019";"0+";"Поэма";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:41:52";"1035306180";
"147";"2019";"Юрий Гагарин. История о том, как обычный мальчик стал первым космонавтом";"[Лисаченко Алексей]";"2019";"0+";"Баллада";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:41:52";"1035306181";
"148";"2019";"Валентина Терешкова. История о том, как целеустремлённость открывает дорогу к звёздам";"[Герасименко Анна]";"2019";"0+";"Баллада";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:46:40";"1035306182";
"149";"2019";"Майя Плисецкая. История о том, как маленькая мечтательница стала великой балериной";"[Герасименко Анна]";"2019";"0+";"Баллада";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:45:27";"1035306183";
"150";"2019";"Софья Ковалевская. История о том, как настойчивость и талант открывают путь в мир науки";"[Герасименко Анна]";"2019";"0+";"Баллада";"Клевер-медиа Групп";"Книга года";"Лауреат номинации «Вместе с книгой мы растем»";"29.04.2020 10:44:31";"1035306184";
"151";"2019";"Небесная лиса: стихотворения и поэмы";"[Воденников Дмитрий]";"2018";"16+";"Баллада";"Азбука";"Книга года";"Лауреат номинации «Поэзия года»";"29.04.2020 10:40:41";"1035306185";
"152";"2019";"500 неизвестных";"[Кибовский Александр Владимирович]";"2019";"12+";"Баллада";"Фонд «Русские Витязи»";"Книга года";"Лауреат номинации «HUMANITAS»";"29.04.2020 10:36:41";"1035306186";
"153";"2019";"Чёрный рейд";"[Яковлев Александр]";"2017";"12+";"Баллада";"Искусство XXI век";"Книга года";"Лауреат номинации «ART-книга»";"29.04.2020 10:36:41";"1035306187";
"154";"2019";"Желтый рейд";"[Яковлев Александр]";"2019";"12+";"Баллада";"Искусство XXI век";"Книга года";"Лауреат номинации «ART-книга»";"29.04.2020 10:40:41";"1035306188";
"155";"2019";"Неизвестный Станиславский. Материалы к постановкам, мотивы декораций, эскизы костюмов, гримы";"[Бубнова Марфа Николаевна]";"2018";"12+";"Баллада";"Бослен";"Книга года";"Лауреат номинации «Искусство книгопечатания»";"29.04.2020 10:45:27";"1035306189";
"156";"2019";"Большой театр и музей. 1918–2018. Из коллекции Музея Государственного академического Большого театра России";"[Харина Лидия Глебовна Чуракова Екатерина Алексеевна]";"2019";"16+";"Баллада";"Кучково Поле";"Книга года";"Лауреат номинации «Мельпомена и Талия»";"29.04.2020 10:41:52";"1035306191";
"157";"2019";"О Данииле Гранине. Воспоминания";"[Соколовская Наталия-редактор]";"2019";"16+";"Баллада";"Вита-Нова";"Книга года";"Лауреат номинации «Книга года»";"29.04.2020 10:44:31";"1035306224";
"158";"2019";"Говорит и показывает Россия";"[Аркадий Островский]";"2019";"12+";"Баллада";"АСТ";"Либмиссия";"Лауреат номинации «Аналитика»";"29.04.2020 10:40:41";"1035306225";
"159";"2019";"Лицей 2019. Третий выпуск";"[Коллектив авторов]";"2019";"18+";"Баллада";"АСТ";"Литературная премия «Лицей» имени Александра Пушкина для молодых писателей и поэтов";"Сборник произведений-лауреатов (произведений-победителей премии)";"29.04.2020 10:36:41";"1035306226";
"160";"2019";"Нью-йоркский обход";"[Стесин Александр]";"2019";"12+";"Баллада";"НЛО";"НОС (Новая словесность)";"Лауреат";"29.04.2020 10:36:41";"1035306227";
"161";"2019";"Собиратель рая";"[Чижов Евгений]";"2019";"16+";"Баллада";"АСТ";"НОС (Новая словесность)";"Номинант";"29.04.2020 10:40:41";"1035306228";
"162";"2019";"Мироныч, дырник и жеможаха. Рассказы о Родине";"[Cиницкая Софья]";"2019";"16+";"Баллада";"Лимбус Пресс";"НОС (Новая словесность)";"Номинант";"29.04.2020 10:44:31";"1035306229";
"163";"2019";"Тайна нашего времени";"[Пепперштейн Павел]";"2018";"18+";"Баллада";"Музей современного искусства «Гараж»";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:41:52";"1035306230";
"164";"2019";"Поднебесный экспресс";"[Кобрин Кирилл Рафаилович]";"2019";"18+";"Баллада";"НЛО";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:41:52";"1035306240";
"165";"2019";"Восстание";"[Кононов Николай В]";"2019";"16+";"Детектив";"Новое издательство";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:44:31";"1035306249";
"166";"2019";"Путеводитель по N";"[Скидан Александр]";"2018";"16+";"Детектив";"Носорог";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:41:51";"1035306250";
"167";"2019";"Вторжение. Краткая история русских хакеров";"[Туровский Даниил]";"2019";"18+";"Детектив";"Individuum";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:46:40";"1035306252";
"168";"2019";"Жизнь Алексея: Диалоги";"[Ярин Александр]";"2018";"16+";"Детектив";"Издательство Ивана Лимбаха";"НОС (Новая словестность)";"Номинант";"29.04.2020 10:44:31";"1035306254";
